id,name,russian,url,kind,score,status,volumes,chapters,episodes,episodes_aired,aired_on,released_on
2,Berserk,Берсерк,/mangas/2-berserk,manga,9.47,ongoing,0,0,,,1989-08-25,
116778,Chainsaw Man,Человек-бензопила,/mangas/116778-chainsaw-man,manga,8.69,ongoing,0,0,,,2018-12-03,
13,One Piece,Ван-Пис,/mangas/z13-one-piece,manga,9.22,ongoing,0,0,,,1997-07-22,
23390,Shingeki no Kyojin,Атака титанов,/mangas/23390-shingeki-no-kyojin,manga,8.55,released,34,141,,,2009-09-09,2021-04-09
121496,Solo Leveling,Поднятие уровня в одиночку,/mangas/121496-solo-leveling,manhwa,8.6,released,0,201,,,2018-03-04,2023-05-31
33327,Tokyo Ghoul,Токийский гуль,/mangas/33327-tokyo-ghoul,manga,8.55,released,14,144,,,2011-09-08,2014-09-18
44347,One Punch-Man,Ванпанчмен,/mangas/z44347-one-punch-man,manga,8.71,ongoing,0,0,,,2012-06-14,
4632,Oyasumi Punpun,"Спокойной ночи, Пунпун",/mangas/4632-oyasumi-punpun,manga,8.99,released,13,147,,,2007-03-15,2013-11-02
113138,Jujutsu Kaisen,Магическая битва,/mangas/113138-jujutsu-kaisen,manga,8.19,released,30,272,,,2018-03-05,2024-09-30
96792,Kimetsu no Yaiba,"Клинок, рассекающий демонов",/mangas/z96792-kimetsu-no-yaiba,manga,8.11,released,23,207,,,2016-02-15,2020-05-18
75989,Boku no Hero Academia,Моя геройская академия,/mangas/75989-boku-no-hero-academia,manga,7.95,released,42,432,,,2014-07-07,2024-08-05
656,Vagabond,Бродяга,/mangas/656-vagabond,manga,9.27,paused,37,327,,,1998-09-03,2015-05-21
11,Naruto,Наруто,/mangas/z11-naruto,manga,8.08,released,72,700,,,1999-09-21,2014-11-10
21,Death Note,Тетрадь смерти,/mangas/z21-death-note,manga,8.69,released,12,108,,,2003-12-01,2006-05-15
12,Bleach,Блич,/mangas/z12-bleach,manga,7.91,released,74,705,,,2001-08-07,2016-08-22
42451,Horimiya,Хоримия,/mangas/42451-horimiya,manga,8.41,released,17,139,,,2011-10-18,2021-03-18
642,Vinland Saga,Сага о Винланде,/mangas/642-vinland-saga,manga,9.09,released,29,224,,,2005-04-13,2025-07-25
100128,Yakusoku no Neverland,Обещанный Неверленд,/mangas/z100128-yakusoku-no-neverland,manga,8.14,released,20,181,,,2016-08-01,2020-06-15
119161,Spy x Family,Семья шпиона,/mangas/119161-spy-x-family,manga,8.47,ongoing,0,0,,,2019-03-25,
25,Fullmetal Alchemist,Стальной алхимик,/mangas/z25-fullmetal-alchemist,manga,9.04,released,27,116,,,2001-07-12,2010-09-11
81117,Tokyo Ghoul:re,Токийский гуль: Перерождение,/mangas/81117-tokyo-ghoul-re,manga,8.33,released,16,181,,,2014-10-16,2018-07-05
1706,JoJo no Kimyou na Bouken Part 7: Steel Ball Run,Невероятное приключение ДжоДжо — Часть 7: Гонка «Стальной шар»,/mangas/1706-jojo-no-kimyou-na-bouken-part-7-steel-ball-run,manga,9.34,released,24,96,,,2004-01-19,2011-04-19
26,Hunter x Hunter,Охотник х Охотник,/mangas/z26-hunter-x-hunter,manga,8.77,ongoing,0,0,,,1998-03-03,
3,20th Century Boys,Мальчишки двадцатого века,/mangas/3-20th-century-boys,manga,8.93,released,22,249,,,1999-09-27,2006-04-24
90125,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Госпожа Кагуя: в любви как на войне,/mangas/90125-kaguya-sama-wa-kokurasetai-tensai-tachi-no-renai-zunousen,manga,8.88,released,28,281,,,2015-05-19,2022-11-02
56805,Koe no Katachi,Форма голоса,/mangas/z56805-koe-no-katachi,manga,8.85,released,7,64,,,2013-08-07,2014-11-19
1,Monster,Монстр,/mangas/1-monster,manga,9.16,released,18,162,,,1994-12-05,2001-12-20
598,Fairy Tail,Хвост Феи,/mangas/598-fairy-tail,manga,7.55,released,63,549,,,2006-08-02,2017-07-26
99007,"Komi-san wa, Comyushou desu.",У Коми проблемы с общением,/mangas/99007-komi-san-wa-comyushou-desu,manga,8.03,released,37,500,,,2016-05-18,2025-01-29
564,Gantz,Ганц,/mangas/564-gantz,manga,8.08,released,37,383,,,2000-07-13,2013-06-20
436,Uzumaki,Спираль,/mangas/436-uzumaki,manga,8.15,released,3,19,,,1998-01-12,1999-08-30
104565,Tokyo卍Revengers,Токийские мстители,/mangas/104565-tokyo-revengers,manga,7.72,released,31,279,,,2017-03-01,2022-11-16
86337,Black Clover,Чёрный клевер,/mangas/z86337-black-clover,manga,7.84,ongoing,0,0,,,2015-02-16,
35243,Haikyuu!!,Волейбол!!,/mangas/z35243-haikyuu,manga,8.86,released,45,407,,,2012-02-20,2020-07-20
583,Claymore,Клеймор,/mangas/583-claymore,manga,8.28,released,27,159,,,2001-06-06,2014-10-04
98270,Fire Punch,Огненный удар,/mangas/98270-fire-punch,manga,7.94,released,8,83,,,2016-04-18,2018-01-01
3009,JoJo no Kimyou na Bouken Part 6: Stone Ocean,Невероятное приключение ДжоДжо — Часть 6: Каменный океан,/mangas/3009-jojo-no-kimyou-na-bouken-part-6-stone-ocean,manga,8.24,released,17,158,,,1999-12-07,2003-04-08
114745,Blue Lock,Синяя тюрьма: Блю Лок,/mangas/114745-blue-lock,manga,8.44,ongoing,0,0,,,2018-08-01,
3986,Deadman Wonderland,Страна чудес смертников,/mangas/3986-deadman-wonderland,manga,7.91,released,13,58,,,2007-04-26,2013-07-26
126146,[Oshi no Ko],Ребёнок идола,/mangas/126146-oshi-no-ko,manga,8.09,released,16,168,,,2020-04-23,2024-11-14
103897,Dr. Stone,Доктор Стоун,/mangas/z103897-dr-stone,manga,8.2,released,27,237,,,2017-03-06,2023-12-25
122663,Tower of God,Башня Бога,/mangas/122663-tower-of-god,manhwa,8.34,ongoing,0,0,,,2010-07-05,
908,Soul Eater,Пожиратель душ,/mangas/908-soul-eater,manga,8.1,released,25,117,,,2003-06-24,2013-08-12
31499,Nisekoi,Притворная любовь,/mangas/z31499-nisekoi,manga,7.71,released,25,229,,,2011-11-07,2016-08-08
135496,Dandadan,Дандадан,/mangas/135496-dandadan,manga,8.43,ongoing,0,0,,,2021-04-06,
24294,Ao Haru Ride,Неудержимая юность,/mangas/z24294-ao-haru-ride,manga,8.12,released,13,53,,,2011-01-13,2015-02-13
1133,Dorohedoro,Дорохедоро,/mangas/1133-dorohedoro,manga,8.68,released,23,190,,,2000-11-30,2018-09-12
70345,Grand Blue,Необъятный океан,/mangas/70345-grand-blue,manga,9.04,ongoing,0,0,,,2014-04-07,
24692,Noragami,Бездомный бог,/mangas/24692-noragami,manga,8.35,released,27,109,,,2010-12-06,2024-01-06
51,Slam Dunk,Слэм-данк,/mangas/z51-slam-dunk,manga,9.08,released,31,276,,,1990-09-18,1996-06-04
16765,Kingdom,Царство,/mangas/16765-kingdom,manga,9.02,ongoing,0,0,,,2006-01-26,
25132,Akame ga Kill!,Убийца Акамэ!,/mangas/z25132-akame-ga-kill,manga,7.81,released,15,80,,,2010-04-22,2016-12-22
