id,name,russian,url,kind,score,status,volumes,chapters,episodes,episodes_aired,aired_on,released_on
55215,Utsuro no Hako to Zero no Maria,Пустая шкатулка и нулевая Мария,/mangas/55215-utsuro-no-hako-to-zero-no-maria,light_novel,8.68,released,7,40,,,2009-01-10,2015-06-10
70261,Mushoku Tensei: Isekai Ittara Honki Dasu,Реинкарнация безработного: История о приключениях в другом мире,/mangas/70261-mushoku-tensei-isekai-ittara-honki-dasu,light_novel,8.82,released,26,330,,,2014-01-23,2022-11-25
89357,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,Добро пожаловать в класс превосходства,/mangas/89357-youkoso-jitsuryoku-shijou-shugi-no-kyoushitsu-e,light_novel,8.8,released,14,110,,,2015-05-25,2019-09-25
74697,Re:Zero kara Hajimeru Isekai Seikatsu,Re:Zero. Жизнь с нуля в альтернативном мире,/mangas/z74697-re-zero-kara-hajimeru-isekai-seikatsu,light_novel,8.82,ongoing,0,0,,,2014-01-23,
40171,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,"Как и ожидалось, моя школьная романтическая жизнь не удалась",/mangas/40171-yahari-ore-no-seishun-love-comedy-wa-machigatteiru,light_novel,8.74,released,18,168,,,2011-03-18,2021-04-20
9115,Ookami to Koushinryou,Волчица и пряности,/mangas/9115-ookami-to-koushinryou,light_novel,8.81,ongoing,0,0,,,2006-02-10,
81669,Overlord,Повелитель,/mangas/81669-overlord,light_novel,8.62,ongoing,0,0,,,2012-07-30,
21479,Sword Art Online,Мастера Меча Онлайн,/mangas/z21479-sword-art-online,light_novel,7.95,ongoing,0,0,,,2009-04-10,
14893,Monogatari Series: First Season,Цикл историй: Первый сезон,/mangas/z14893-monogatari-series-first-season,light_novel,8.91,released,6,107,,,2006-11-01,2010-07-28
48399,No Game No Life,Нет игры — нет жизни,/mangas/z48399-no-game-no-life,light_novel,8.42,ongoing,0,0,,,2012-04-25,
60553,Kono Subarashii Sekai ni Shukufuku wo!,Этот замечательный мир!,/mangas/z60553-kono-subarashii-sekai-ni-shukufuku-wo,light_novel,8.6,released,17,127,,,2013-10-01,2020-05-01
104039,86,Восемьдесят шесть,/mangas/104039-86,light_novel,8.83,ongoing,0,0,,,2017-02-10,
67617,Tate no Yuusha no Nariagari,Восхождение героя щита,/mangas/z67617-tate-no-yuusha-no-nariagari,light_novel,7.91,ongoing,0,0,,,2013-08-22,
123992,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen,Добро пожаловать в класс превосходства: Второй год,/mangas/123992-youkoso-jitsuryoku-shijou-shugi-no-kyoushitsu-e-2-nensei-hen,light_novel,8.75,released,15,130,,,2020-01-24,2024-11-25
87610,Tensei shitara Slime Datta Ken,О моём перерождении в слизь,/mangas/z87610-tensei-shitara-slime-datta-ken,light_novel,8.48,ongoing,0,0,,,2014-05-30,
3083,Suzumiya Haruhi Series,Истории о Харухи Судзумии,/mangas/3083-suzumiya-haruhi-series,light_novel,8.52,ongoing,0,0,,,2003-06-06,
126479,Mikkakan no Koufuku,Три дня счастья,/mangas/126479-mikkakan-no-koufuku,novel,8.88,released,1,15,,,2013-12-25,
7458,Death Note Another Note: Los Angeles BB Renzoku Satsujin Jiken,Тетрадь смерти: Другая тетрадь — Лос-Анджелес по следу убийцы ББ,/mangas/z7458-death-note-another-note-los-angeles-bb-renzoku-satsujin-jiken,novel,8.3,released,1,7,,,2006-08-01,
25409,High School DxD,Старшая школа DxD,/mangas/25409-high-school-dxd,light_novel,8.17,released,25,240,,,2008-09-20,2018-03-20
12854,Toaru Majutsu no Index,Индекс волшебства,/mangas/12854-toaru-majutsu-no-index,light_novel,8.38,released,22,133,,,2004-04-10,2010-10-10
34127,Mahouka Koukou no Rettousei,Непутёвый ученик в школе магии,/mangas/z34127-mahouka-koukou-no-rettousei,light_novel,8.15,released,32,0,,,2011-07-08,2020-09-10
56743,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,"Может, я встречу тебя в подземелье?",/mangas/56743-dungeon-ni-deai-wo-motomeru-no-wa-machigatteiru-darou-ka,light_novel,8.23,ongoing,0,0,,,2013-01-15,
98930,Violet Evergarden,Вайолет Эвергарден,/mangas/98930-violet-evergarden,light_novel,8.64,released,2,13,,,2015-12-25,2016-12-26
70399,Seishun Buta Yarou Series,Этот глупый свин,/mangas/70399-seishun-buta-yarou-series,light_novel,8.62,released,15,0,,,2014-04-10,2024-10-10
95012,"Kumo desu ga, Nani ka?","Да, я паук, и что же?",/mangas/95012-kumo-desu-ga-nani-ka,light_novel,8.36,released,16,384,,,2015-12-10,2022-01-08
3649,Fate/Zero,Судьба/Начало,/mangas/z3649-fate-zero,light_novel,8.5,released,4,18,,,2006-12-29,2007-12-29
7149,Toradora!,Торадора!,/mangas/7149-toradora,light_novel,8.21,released,10,62,,,2006-03-10,2009-03-10
88923,Arifureta Shokugyou de Sekai Saikyou,Арифурэта: Сильнейший ремесленник в мире,/mangas/88923-arifureta-shokugyou-de-sekai-saikyou,light_novel,7.67,ongoing,0,0,,,2015-06-25,
16816,Durarara!!,Дюрарара!!,/mangas/z16816-durarara,light_novel,8.32,released,13,89,,,2004-04-10,2014-01-10
81211,Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,Что ты будешь делать во время апокалипсиса? Будешь ли ты занят? Могу ли я спасти тебя?,/mangas/81211-shuumatsu-nani-shitemasu-ka-isogashii-desu-ka-sukutte-moratte-ii-desu-ka,light_novel,8.52,released,5,25,,,2014-11-01,2016-04-01
143441,Omniscient Reader's Viewpoint,Всеведущий читатель,/mangas/143441-omniscient-reader-s-viewpoint,novel,9.03,released,20,105,,,2022-01-20,2023-09-11
36719,Hataraku Maou-sama!,Повелитель тьмы на подработке!,/mangas/36719-hataraku-maou-sama,light_novel,7.66,released,21,107,,,2011-02-10,2020-08-07
23751,Monogatari Series: Second Season,Цикл историй: Второй сезон,/mangas/z23751-monogatari-series-second-season,light_novel,8.89,released,6,199,,,2010-10-27,2011-12-20
115922,Kage no Jitsuryokusha ni Naritakute!,Восхождение в тени!,/mangas/115922-kage-no-jitsuryokusha-ni-naritakute,light_novel,8.45,ongoing,0,0,,,2018-11-05,
9726,Zaregoto Series,Зарэгото,/mangas/9726-zaregoto-series,light_novel,8.64,ongoing,0,0,,,2002-02-05,
